order_id,supplier_id,supplier_name,supplier_country,category,destination_market,destination_hub,month,month_num,order_date,quantity_units,unit_price_eur,order_value_eur,contracted_sla_days,actual_delivery_days,on_time_delivery,delay_days,quality_pass,defect_rate_pct,invoice_accurate,temperature_breach,payment_terms_days
ORD00001,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-08,278,21.08,5860.24,5,5,1,0,1,2.22,1,0,30
ORD00002,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Italy,Milan,2024-01,1,2024-01-14,82,15.35,1258.7,5,5,1,0,1,1.52,1,0,30
ORD00003,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-23,715,22.73,16251.95,5,5,1,0,1,1.35,1,0,30
ORD00004,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-01,213,35.22,7501.86,5,5,1,0,1,0.47,0,0,30
ORD00005,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-04,144,14.63,2106.72,5,5,1,0,1,1.03,1,0,30
ORD00006,SUP001,Müller Logistik GmbH,Germany,Dry Goods,France,Paris CDG,2024-01,1,2024-01-24,520,14.63,7607.6,5,5,1,0,0,6.41,1,0,30
ORD00007,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-21,683,36.22,24738.26,5,5,1,0,1,0.58,1,0,30
ORD00008,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-08,346,24.14,8352.44,5,9,0,4,1,1.14,1,0,30
ORD00009,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-12,216,13.0,2808.0,5,5,1,0,1,0.8,0,0,30
ORD00010,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-03,673,21.57,14516.61,5,5,1,0,1,0.73,1,0,30
ORD00011,SUP001,Müller Logistik GmbH,Germany,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-21,754,13.04,9832.16,5,5,1,0,1,2.53,1,0,30
ORD00012,SUP002,Bayern Transport AG,Germany,Chilled,Poland,Warsaw,2024-01,1,2024-01-11,460,14.59,6713.06,3,3,1,0,1,2.83,1,0,45
ORD00013,SUP002,Bayern Transport AG,Germany,Chilled,Belgium,Brussels,2024-01,1,2024-01-16,455,20.79,9458.18,3,3,1,0,1,0.43,1,0,45
